Date,Adj Close,% change,1monthchange
2016-08-04,15.3739996,2.1347,
2016-08-05,15.33533287,-0.2515,
2016-08-08,15.07733345,-1.6824,
2016-08-09,15.27200031,1.2911,
2016-08-10,15.04333305,-1.4973,
2016-08-11,14.99400043,-0.3279,
2016-08-12,15.04066658,0.3112,
2016-08-15,15.03933334,-0.0089,
2016-08-16,14.90733337,-0.8777,
2016-08-17,14.88266659,-0.1655,
2016-08-18,14.90066719,0.121,
2016-08-19,15.0,0.6666,
2016-08-22,14.86200047,-0.92,
2016-08-23,14.98933315,0.8568,
2016-08-24,14.84133339,-0.9874,
2016-08-25,14.73066711,-0.7457,
2016-08-26,14.66600037,-0.439,
2016-08-29,14.34666729,-2.1774,
2016-08-30,14.08933258,-1.7937,
2016-08-31,14.13399982,0.317,-7.8257
2016-09-01,13.3846674,-5.3016,
2016-09-02,13.18533325,-1.4893,
2016-09-06,13.52200031,2.5533,
2016-09-07,13.44733334,-0.5522,
2016-09-08,13.15733337,-2.1566,
2016-09-09,12.96466732,-1.4643,
2016-09-12,13.22000027,1.9695,
2016-09-13,13.06999969,-1.1346,
2016-09-14,13.09399986,0.1836,
2016-09-15,13.36133289,2.0416,
2016-09-16,13.69333267,2.4848,
2016-09-19,13.75599957,0.4576,
2016-09-20,13.64266682,-0.8239,
2016-09-21,13.68133259,0.2834,
2016-09-22,13.76200008,0.5896,
2016-09-23,13.82999992,0.4941,
2016-09-26,13.93266678,0.7423,
2016-09-27,13.72066689,-1.5216,
2016-09-28,13.75133324,0.2235,
2016-09-29,13.38000011,-2.7003,
2016-09-30,13.60200024,1.6592,1.6237
2016-10-03,14.24666691,4.7395,
2016-10-04,14.09399986,-1.0716,
2016-10-05,13.89733315,-1.3954,
2016-10-06,13.39999962,-3.5786,
2016-10-07,13.10733318,-2.1841,
2016-10-10,13.39666653,2.2074,
2016-10-11,13.34000015,-0.423,
2016-10-12,13.43400002,0.7046,
2016-10-13,13.34933281,-0.6302,
2016-10-14,13.100667,-1.8628,
2016-10-17,12.93066692,-1.2976,
2016-10-18,13.2733326,2.65,
2016-10-19,13.57066727,2.2401,
2016-10-20,13.2733326,-2.191,
2016-10-21,13.33933258,0.4972,
2016-10-24,13.51733303,1.3344,
2016-10-25,13.48933315,-0.2071,
2016-10-26,13.48266697,-0.0494,
2016-10-27,13.600667,0.8752,
2016-10-28,13.33133316,-1.9803,
2016-10-31,13.18200016,-1.1202,-7.4731
2016-11-01,12.7193327,-3.5098,
2016-11-02,12.53466702,-1.4519,
2016-11-03,12.49466705,-0.3191,
2016-11-04,12.70400047,1.6754,
2016-11-07,12.88066673,1.3906,
2016-11-08,12.99600029,0.8954,
2016-11-09,12.67066669,-2.5033,
2016-11-10,12.35666656,-2.4782,
2016-11-11,12.57066727,1.7319,
2016-11-14,12.09666729,-3.7707,
2016-11-15,12.25133324,1.2786,
2016-11-16,12.26200008,0.0871,
2016-11-17,12.57733345,2.5716,
2016-11-18,12.33466721,-1.9294,
2016-11-21,12.30133343,-0.2702,
2016-11-22,12.74466705,3.6039,
2016-11-23,12.8760004,1.0305,
2016-11-25,13.10999966,1.8173,
2016-11-28,13.07466698,-0.2695,
2016-11-29,12.63799953,-3.3398,
2016-11-30,12.62666702,-0.0897,-0.7285
2016-12-01,12.12533283,-3.9704,
2016-12-02,12.09799957,-0.2254,
2016-12-05,12.4533329,2.9371,
2016-12-06,12.39000034,-0.5086,
2016-12-07,12.87666702,3.9279,
2016-12-08,12.81933308,-0.4453,
2016-12-09,12.81200027,-0.0572,
2016-12-12,12.82866669,0.1301,
2016-12-13,13.21000004,2.9725,
2016-12-14,13.24600029,0.2725,
2016-12-15,13.17199993,-0.5587,
2016-12-16,13.49933338,2.4851,
2016-12-19,13.51533318,0.1185,
2016-12-20,13.91933346,2.9892,
2016-12-21,13.84666729,-0.5221,
2016-12-22,13.89666653,0.3611,
2016-12-23,14.22266674,2.3459,
2016-12-27,14.63533306,2.9015,
2016-12-28,14.649333,0.0957,
2016-12-29,14.31200027,-2.3027,
2016-12-30,14.24600029,-0.4612,17.4896
2017-01-03,14.4659996,1.5443,
2017-01-04,15.13266659,4.6085,
2017-01-05,15.11666679,-0.1057,
2017-01-06,15.26733303,0.9967,
2017-01-09,15.41866684,0.9912,
2017-01-10,15.32466698,-0.6096,
2017-01-11,15.31533337,-0.0609,
2017-01-12,15.30599976,-0.0609,
2017-01-13,15.85000038,3.5542,
2017-01-17,15.70533276,-0.9127,
2017-01-18,15.89066696,1.1801,
2017-01-19,16.25066757,2.2655,
2017-01-20,16.31533241,0.3979,
2017-01-23,16.59466743,1.7121,
2017-01-24,16.97400093,2.2859,
2017-01-25,16.96466637,-0.055,
2017-01-26,16.83399963,-0.7702,
2017-01-27,16.86333275,0.1742,
2017-01-30,16.70866776,-0.9172,
2017-01-31,16.79533386,0.5187,16.1021
2017-02-01,16.61599922,-1.0678,
2017-02-02,16.77000046,0.9268,
2017-02-03,16.75533295,-0.0875,
2017-02-06,17.18466759,2.5624,
2017-02-07,17.16533279,-0.1125,
2017-02-08,17.47200012,1.7866,
2017-02-09,17.94666672,2.7167,
